sirket_adi,kap_id,api_url
"Meksa Yatırım Menkul Değerler A.Ş.","4028e4a24184e9e50141981faaf249d3","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a24184e9e50141981faaf249d3/ODA/365"
"Qnb  Finansal Kiralama A.Ş.","4028e4a140f2ed7201410821418e027d","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a140f2ed7201410821418e027d/ODA/365"
"Pınar Süt Mamulleri Sanayii A.Ş.","4028e4a240ee866c0140f1f97e530042","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a240ee866c0140f1f97e530042/ODA/365"
"Dyo Boya Fabrikaları A.Ş.","4028e4a140e8cf9d0140e95835a30033","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a140e8cf9d0140e95835a30033/ODA/365"
"Tv8 Tv Yayıncılık A.Ş","4028e4a1415f4d9b014160385b35407b","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a1415f4d9b014160385b35407b/ODA/365"
"Alves Kablo Sanayi Ve Ticaret A.Ş.","8acae2c58b2fa64e018dc0263b1377aa","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c58b2fa64e018dc0263b1377aa/ODA/365"
"Doruk Faktoring A.Ş.","4028e4a141462dfe01414b0e029d286f","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a141462dfe01414b0e029d286f/ODA/365"
"Akdeniz Faktoring A.Ş.","4028e4a1415f4d990141601150cc3212","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a1415f4d990141601150cc3212/ODA/365"
"Çamsan Entegre Ağaç Sanayi Ve Ticaret Anonim Şirketi","8acae2c4998f24d8019ad909b0f14c09","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c4998f24d8019ad909b0f14c09/ODA/365"
"Tacirler Yatırım Menkul Değerler A.Ş.","4028e4a14184e9cf01419c00c2a65a7e","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a14184e9cf01419c00c2a65a7e/ODA/365"
"Marbaş Menkul Değerler A.Ş.","4028e4a140f2ed7101413af95c8c047c","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a140f2ed7101413af95c8c047c/ODA/365"
"Garanti Filo Yönetimi Hizmetleri A.Ş.","4028e4a240f2ef4c01413a53aa850684","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a240f2ef4c01413a53aa850684/ODA/365"
"Ünlü Yatırım Holding A.Ş.","4028e4a24bcf2bca014be9def2a47203","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a24bcf2bca014be9def2a47203/ODA/365"
"Deniz Finansal Kiralama A.Ş.","4028e4a140f2ed7101411793bae502d5","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a140f2ed7101411793bae502d5/ODA/365"
"İş Faktoring A.Ş.","4028e4a2413b80ca01413bb4d2580033","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a2413b80ca01413bb4d2580033/ODA/365"
"Qnb Bank A.Ş.","4028e4a240e95dc90140ee076f400178","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a240e95dc90140ee076f400178/ODA/365"
"D Yatırım Bankası A.Ş.","8acae2c4757dba8c01759d4015520c73","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c4757dba8c01759d4015520c73/ODA/365"
"Misyon Yatırım Bankası A.Ş.","8acae2c482b7ea0b0182f949649916a8","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c482b7ea0b0182f949649916a8/ODA/365"
"Anadolu Efes Biracılık Ve Malt Sanayii A.Ş.","4028e4a140e95bea0140ed2fde10009d","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a140e95bea0140ed2fde10009d/ODA/365"
"Tera Yatırım Bankası A.Ş.","8acae2c58b2fa64e018b41c1d7310847","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c58b2fa64e018b41c1d7310847/ODA/365"
"Aztek  Teknoloji  Ürünleri Ticaret A.Ş.","8acae2c4819d0efe01826e96dd896e0e","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c4819d0efe01826e96dd896e0e/ODA/365"
"Midas Menkul Değerler A.Ş.","8acae2c4782a4d580178a723f5383685","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c4782a4d580178a723f5383685/ODA/365"
